artist,country,city,latitude,longitude,address
Nightstalker,Ελλάς,Athens,37.9755648,23.7348324,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς"
Rotting Christ,Ελλάς,Athens,37.9755648,23.7348324,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς"
The Angelic Process,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Circulatory System,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Jucifer,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Vic Chesnutt,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Alabama Shakes,United States,Athens,34.8045487,-86.9711698,"Athens, Limestone County, Alabama, 35613, United States"
Phosphorescent,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
of Montreal,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Skeletonwitch,United States,Athens,39.355589,-82.0610404,"Athens County, Ohio, United States"
Astarte,Ελλάς,Athens,37.9755648,23.7348324,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς"
Major Organ and the Adding Machine,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
The Olivia Tremor Control,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Becoming The Archetype,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
The Wild,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Withered,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Cody ChesnuTT,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
'68,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Manchester Orchestra,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Bad Books,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Me and Him Call It Us,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Atlas Sound,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Faye Webster,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Issues,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Red House Painters,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Lilitu,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Zoroaster,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Irist,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
"Woe, Is Me",United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Stereomud,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Balkans,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Cat Power,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
The Rise of Science,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
I Would Set Myself On Fire For You,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
"Right Away, Great Captain!",United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Sevendust,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
O'Brother,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Algiers,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
All The Saints,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Nashville Pussy,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Of Machines,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
The Letters Organize,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Irreversible,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Stuck Mojo,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
The Black Crowes,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Gnarls Barkley,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
City Sleeps,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Encoffination,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Marvelous 3,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Fozzy,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Kaki King,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Satyr,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Injected,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Mastodon,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Deerhunter,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Indigo Girls,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Attila,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Hallows Eve,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Gov't Mule,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Firelink,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Omni,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
Hot Rod Circuit,United States,Auburn,32.6098566,-85.4807825,"Auburn, Lee County, Alabama, United States"
If Hope Dies,United States,Auburn,42.9320202,-76.5672029,"City of Auburn, Cayuga County, New York, 13021, United States"
Manowar,United States,Auburn,42.9320202,-76.5672029,"City of Auburn, Cayuga County, New York, 13021, United States"
Men As Trees,United States,Auburn Hills,42.6875323,-83.2341028,"Auburn Hills, Oakland County, Michigan, 48326, United States"
The Proclaimers,United Kingdom,Auchtermuchty,56.2920848,-3.2328277,"Auchtermuchty, Fife, Alba / Scotland, KY14 7AP, United Kingdom"
The Mint Chicks,New Zealand / Aotearoa,Auckland,-36.852095,174.7631803,"Auckland, Waitematā, Auckland, 1010, New Zealand / Aotearoa"
Liam Finn,New Zealand / Aotearoa,Auckland,-36.852095,174.7631803,"Auckland, Waitematā, Auckland, 1010, New Zealand / Aotearoa"
