artist,country,city,latitude,longitude,address,state,state_pop
Counting Crows,United States,San Francisco Bay Area,37.7884969,-122.3558473,"San Francisco Bay Area, San Francisco, California, 94110, United States",California,29950111
Death Angel,United States,San Francisco Bay Area,37.7884969,-122.3558473,"San Francisco Bay Area, San Francisco, California, 94110, United States",California,29950111
Forbidden,United States,San Francisco Bay Area,37.7884969,-122.3558473,"San Francisco Bay Area, San Francisco, California, 94110, United States",California,29950111
Possessed,United States,San Francisco Bay Area,37.7884969,-122.3558473,"San Francisco Bay Area, San Francisco, California, 94110, United States",California,29950111
Vicious Rumors,United States,San Francisco Bay Area,37.7884969,-122.3558473,"San Francisco Bay Area, San Francisco, California, 94110, United States",California,29950111
Vio-Lence,United States,San Francisco Bay Area,37.7884969,-122.3558473,"San Francisco Bay Area, San Francisco, California, 94110, United States",California,29950111
A Black Rose Burial,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Count Five,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Dekapitator,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Duster,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Exhumed,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Heavy Heavy Low Low,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Noothgrush,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Scott Weiland,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Shinobu,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Sleep,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Smash Mouth,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
The Doobie Brothers,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Valium Aggelein,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Warlord,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Xiu Xiu,United States,San Jose,37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States",California,29950111
Holding Onto Hope,United States,San Luis Obispo,35.3540209,-120.375716,"San Luis Obispo County, California, United States",California,29950111
Sherwood,United States,San Luis Obispo,35.3540209,-120.375716,"San Luis Obispo County, California, United States",California,29950111
This Will Destroy You,United States,San Marcos,29.8826436,-97.9405828,"San Marcos, Hays County, Texas, 78666, United States",Texas,17044714
The Mummies,United States,San Mateo,37.496904,-122.3330573,"San Mateo County, California, United States",California,29950111
Minutemen,United States,San Pedro,33.7358518,-118.2922934,"San Pedro, Los Angeles, Los Angeles County, California, 90731, United States",California,29950111
fIREHOSE,United States,San Pedro,33.7358518,-118.2922934,"San Pedro, Los Angeles, Los Angeles County, California, 90731, United States",California,29950111
The Brave Little Abacus,United States,Sandown,42.928698,-71.1870053,"Sandown, Rockingham County, New Hampshire, 03873, United States",New Hampshire,1218629
Crotchduster,United States,Sanford,28.8117345,-81.2680223,"Sanford, Seminole County, Florida, United States",Florida,13018365
Augustana,United States,Santa Ana,33.7494951,-117.873221,"Santa Ana, Orange County, California, United States",California,29950111
Bad Astronaut,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
DevilDriver,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
Dishwalla,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
Dntel,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
Katy Perry,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
Motograter,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
Nekrogoblikon,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
Pressure 4-5,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
Snot,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
Sugarcult,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
Toad The Wet Sprocket,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
Ultraspank,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States",California,29950111
Smile Empty Soul,United States,Santa Clarita,34.4127963,-118.5538088,"Santa Clarita, Los Angeles County, California, United States",California,29950111
Arsonists Get All the Girls,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
Brain Drill,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
Comets on Fire,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
Decrepit Birth,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
Estradasphere,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
Fell Voices,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
Flesh Consumed,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
Good Riddance,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
Sleepy Sun,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
The Devil Makes Three,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
The Expendables,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
The Taste Of Blood,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
Yaphet Kotto,United States,Santa Cruz,37.050096,-121.99059,"Santa Cruz County, California, United States",California,29950111
Beirut,United States,Santa Fe,35.6876096,-105.938456,"Santa Fe, Santa Fe County, New Mexico, United States",New Mexico,7757158
Old Man Gloom,United States,Santa Fe,35.6876096,-105.938456,"Santa Fe, Santa Fe County, New Mexico, United States",New Mexico,7757158
Zozobra,United States,Santa Fe,35.6876096,-105.938456,"Santa Fe, Santa Fe County, New Mexico, United States",New Mexico,7757158
Cryptic Slaughter,United States,Santa Monica,34.0194704,-118.491227,"Santa Monica, Los Angeles County, California, United States",California,29950111
Linda Perhacs,United States,Santa Monica,34.0194704,-118.491227,"Santa Monica, Los Angeles County, California, United States",California,29950111
Mazzy Star,United States,Santa Monica,34.0194704,-118.491227,"Santa Monica, Los Angeles County, California, United States",California,29950111
Ry Cooder,United States,Santa Monica,34.0194704,-118.491227,"Santa Monica, Los Angeles County, California, United States",California,29950111
The Rentals,United States,Santa Monica,34.0194704,-118.491227,"Santa Monica, Los Angeles County, California, United States",California,29950111
Benton Falls,United States,Santa Rosa,38.4404925,-122.7141049,"Santa Rosa, Sonoma County, California, United States",California,29950111
Edaline,United States,Santa Rosa,38.4404925,-122.7141049,"Santa Rosa, Sonoma County, California, United States",California,29950111
Atheist,United States,Sarasota,27.3365805,-82.5308545,"Sarasota, Sarasota County, Florida, United States",Florida,13018365
Burden of a Day,United States,Sarasota,27.3365805,-82.5308545,"Sarasota, Sarasota County, Florida, United States",Florida,13018365
Crimson Glory,United States,Sarasota,27.3365805,-82.5308545,"Sarasota, Sarasota County, Florida, United States",Florida,13018365
Rob Thomas,United States,Sarasota,27.3365805,-82.5308545,"Sarasota, Sarasota County, Florida, United States",Florida,13018365
For All Those Sleeping,United States,Sartell,45.6216319,-94.2069365,"Sartell, Stearns County, Minnesota, 56377, United States",Minnesota,4387282
Baroness,United States,Savannah,32.0790074,-81.0921335,"Savannah, Chatham County, Georgia, United States",Georgia,6506531
Black Tusk,United States,Savannah,32.0790074,-81.0921335,"Savannah, Chatham County, Georgia, United States",Georgia,6506531
Circle Takes the Square,United States,Savannah,32.0790074,-81.0921335,"Savannah, Chatham County, Georgia, United States",Georgia,6506531
Kylesa,United States,Savannah,32.0790074,-81.0921335,"Savannah, Chatham County, Georgia, United States",Georgia,6506531
Bon Jovi,United States,Sayreville,40.4635362,-74.3618499,"Sayreville, Middlesex County, New Jersey, United States",New Jersey,7757158
The County Medical Examiners,United States,Scotts Valley,37.0510595,-122.014684,"Scotts Valley, Santa Cruz County, California, 95066, United States",California,29950111
Chronic Future,United States,Scottsdale,33.4942189,-111.926018,"Scottsdale, Maricopa County, Arizona, United States",Arizona,3679056
Orbs,United States,Scottsdale,33.4942189,-111.926018,"Scottsdale, Maricopa County, Arizona, United States",Arizona,3679056
The Summer Set,United States,Scottsdale,33.4942189,-111.926018,"Scottsdale, Maricopa County, Arizona, United States",Arizona,3679056
"Captain, We're Sinking",United States,Scranton,41.4086874,-75.6621294,"Scranton, Lackawanna County, Pennsylvania, United States",Pennsylvania,11895604
Motionless In White,United States,Scranton,41.4086874,-75.6621294,"Scranton, Lackawanna County, Pennsylvania, United States",Pennsylvania,11895604
The Menzingers,United States,Scranton,41.4086874,-75.6621294,"Scranton, Lackawanna County, Pennsylvania, United States",Pennsylvania,11895604
Tigers Jaw,United States,Scranton,41.4086874,-75.6621294,"Scranton, Lackawanna County, Pennsylvania, United States",Pennsylvania,11895604
Arizmenda,United States,Seal Beach,33.7423967,-118.1055926,"Seal Beach, Orange County, California, United States",California,29950111
Rx Bandits,United States,Seal Beach,33.7423967,-118.1055926,"Seal Beach, Orange County, California, United States",California,29950111
7 Year Bitch,United States,Seattle,47.6038321,-122.330062,"Seattle, King County, Washington, United States",Washington,4900780
A Fine Frenzy,United States,Seattle,47.6038321,-122.330062,"Seattle, King County, Washington, United States",Washington,4900780
