city,state,population
Cedar Falls,Iowa,40536
Jamestown,New York,40493
Covington,Kentucky,40341
Amherst,Massachusetts,39814
Muskogee,Oklahoma,39789
Chelsea,Massachusetts,39690
Issaquah,Washington,39509
Germantown,Tennessee,39225
Annapolis,Maryland,39223
Culver City,California,39185
Oxford,Mississippi,38310
Mechanicsville,Virginia,37496
Valley Stream,New York,37431
Oregon City,Oregon,37339
Winter Springs,Florida,37312
Braintree,Massachusetts,37190
Rock Island,Illinois,37176
Mount Juliet,Tennessee,37029
Oakton,Virginia,36997
New Albany,Indiana,36843
Moorpark,California,36375
Lincoln Park,Michigan,36321
Claremont,California,36266
Cooper City,Florida,35800
Manhattan Beach,California,35183
Menlo Park,California,34698
Arcata,California,34616
Lockport,New York,34561
Goshen,Indiana,34217
Russellville,Arkansas,34205
Grass Valley,California,34196
Kennesaw,Georgia,34077
Douglasville,Georgia,33992
Laramie,Wyoming,33929
Dana Point,California,33577
Newark,Delaware,33515
Woodstock,Georgia,33039
Fair Lawn,New Jersey,32896
Huntington Station,New York,32866
Massillon,Ohio,32584
College Park,Maryland,32163
Chillicothe,Ohio,31999
La Verne,California,31974
Garfield,New Jersey,31802
Centereach,New York,31493
Princeton,New Jersey,31187
Goleta,California,30911
Barstow,California,30605
Gurnee,Illinois,30378
Sterling,Virginia,30271
Long Branch,New Jersey,30241
Los Gatos,California,30222
Los Altos,California,30089
Stockbridge,Georgia,29904
Ukiah,California,29561
Port Chester,New York,29163
Geneva,New York,28563
Northampton,Massachusetts,28451
Ruston,Louisiana,27717
Isla Vista,California,27707
Seneca,South Carolina,27439
Bergenfield,New Jersey,27327
Glen Cove,New York,27166
Wilmette,Illinois,27089
Cortland,New York,26729
Alvin,Texas,26723
Marshalltown,Iowa,26666
Batavia,Illinois,26420
Troy,Ohio,26281
Boone,North Carolina,26146
Moscow,Idaho,26145
Twentynine Palms,California,26073
Medina,Ohio,25956
Owatonna,Minnesota,25704
Tarpon Springs,Florida,25577
Denison,Texas,25529
El Cerrito,California,25508
Homewood,Alabama,25377
Bainbridge Island,Washington,25298
Edwardsville,Illinois,25233
Ridgewood,New Jersey,25056
Auburn Hills,Michigan,24748
Baldwin,New York,24727
Kernersville,North Carolina,24660
Rockville Centre,New York,24550
Lathrop,California,24483
Clinton,Mississippi,24440
Ellensburg,Washington,24377
Chantilly,Virginia,24368
Newport,Rhode Island,24334
Peekskill,New York,24295
Ridgeland,Mississippi,24104
Tumwater,Washington,24024
Seal Beach,California,23896
Calabasas,California,23853
Half Moon Bay,California,23653
Zion,Illinois,23487
Carteret,New Jersey,23408
Maywood,Illinois,23158
Blue Island,Illinois,22899
Belton,Texas,22885
Laguna Beach,California,22827
Keene,New Hampshire,22786
Millbrae,California,22394
Naples,Florida,22088
Massapequa,New York,21784
Mukilteo,Washington,21441
King of Prussia,Pennsylvania,21313
Stephenville,Texas,21247
Guayama,Puerto Rico,20913
Grayslake,Illinois,20725
Lebanon,Ohio,20659
Payson,Utah,20303
Agoura Hills,California,20222
Libertyville,Illinois,20205
Ypsilanti,Michigan,20171
Snellville,Georgia,20077
West Chester,Pennsylvania,20029
Elmwood Park,New Jersey,19966
Tahlequah,Oklahoma,19773
La Crescenta-Montrose,California,19689
Hermosa Beach,California,19320
Arbutus,Maryland,19292
Morristown,New Jersey,19261
Lexington,North Carolina,18933
Sartell,Minnesota,18926
Anacortes,Washington,18563
Hopkins,Minnesota,18468
Radford,Virginia,18249
Iselin,New Jersey,18175
Macomb,Illinois,18006
Easton,Maryland,17911
Dumont,New Jersey,17516
Shorewood,Illinois,17509
Martinsburg,West Virginia,17454
Lansdale,Pennsylvania,17083
McComb,Mississippi,16672
El Segundo,California,16610
Solvang,California,16540
Los Osos,California,16533
