artist,country,city,latitude,longitude,address,state,state_pop
The Evens,United States,Washington,38.8950368,-77.0365427,"Washington, District of Columbia, United States",D.C.,603814
The Max Levine Ensemble,United States,Washington,38.8950368,-77.0365427,"Washington, District of Columbia, United States",D.C.,603814
The Nation of Ulysses,United States,Washington,38.8950368,-77.0365427,"Washington, District of Columbia, United States",D.C.,603814
Tim Buckley,United States,Washington,38.8950368,-77.0365427,"Washington, District of Columbia, United States",D.C.,603814
Vertical Horizon,United States,Washington,38.8950368,-77.0365427,"Washington, District of Columbia, United States",D.C.,603814
Vestiges,United States,Washington,38.8950368,-77.0365427,"Washington, District of Columbia, United States",D.C.,603814
Regurgitation,United States,Washington Court House,39.5364511,-83.4390843,"Washington Court House, Fayette County, Ohio, 43160, United States",Ohio,10861837
Animals As Leaders,United States,Washington DC,38.8950368,-77.0365427,"Washington, District of Columbia, United States",D.C.,603814
Coke Bust,United States,Washington DC,38.8950368,-77.0365427,"Washington, District of Columbia, United States",D.C.,603814
Dag Nasty,United States,Washington DC,38.8950368,-77.0365427,"Washington, District of Columbia, United States",D.C.,603814
Nothingface,United States,Washington DC,38.8950368,-77.0365427,"Washington, District of Columbia, United States",D.C.,603814
Smart Went Crazy,United States,Washington DC,38.8950368,-77.0365427,"Washington, District of Columbia, United States",D.C.,603814
Portugal. The Man,United States,Wasilla,61.5824216,-149.442563,"Wasilla, Matanuska-Susitna Borough, Alaska, United States",Alaska,553120
The Black Dahlia Murder,United States,Waterford,42.7022527,-83.402718,"Waterford, Waterford Township, Oakland County, Michigan, 48346, United States",Michigan,9310462
Followed By Ghosts,United States,Waverly,42.7258451,-92.4746033,"Waverly, Bremer County, Iowa, 50677, United States",Iowa,2779769
Billy Squier,United States,Wellesley,42.2964859,-71.2925571,"Wellesley, Norfolk County, Massachusetts, United States",Massachusetts,6018664
Necrophagia,United States,Wellsville,40.6099641,-80.6418888,"Wellsville, Columbiana County, Ohio, United States",Ohio,10861837
Octaves,United States,West Baltimore,39.2933208,-76.6531881,"West Baltimore, West Franklin Street, Midtown-Edmondson, Greater Rosemont, Baltimore, Maryland, 21223, United States",Maryland,4797431
CKY,United States,West Chester,39.9597213,-75.6059638,"West Chester, Chester County, Pennsylvania, 19383, United States",Pennsylvania,11895604
Spraynard,United States,West Chester,39.9597213,-75.6059638,"West Chester, Chester County, Pennsylvania, 19383, United States",Pennsylvania,11895604
The Color Fred,United States,West Chester,39.9597213,-75.6059638,"West Chester, Chester County, Pennsylvania, 19383, United States",Pennsylvania,11895604
The Flashbulb,United States,West Englewood,41.7780891,-87.6667177,"West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",Illinois,11446979
Make Do and Mend,United States,West Hartford,41.7620447,-72.7420399,"West Hartford, Capitol Planning Region, Connecticut, United States",Connecticut,3289055
Hey Monday,United States,West Palm Beach,26.715364,-80.0532942,"West Palm Beach, Palm Beach County, Florida, United States",Florida,13018365
Joe Satriani,United States,Westbury,40.7556561,-73.5876273,"Village of Westbury, Town of North Hempstead, Nassau County, New York, United States",New York,18002855
Moving Mountains,United States,Westchester,41.1763139,-73.7907554,"Westchester County, New York, United States",New York,18002855
Dry Kill Logic,United States,Westchester County,41.1763139,-73.7907554,"Westchester County, New York, United States",New York,18002855
Killswitch Engage,United States,Westfield,42.1205411,-72.7489158,"Westfield, Hampden County, Massachusetts, United States",Massachusetts,6018664
Within the Ruins,United States,Westfield,42.1205411,-72.7489158,"Westfield, Hampden County, Massachusetts, United States",Massachusetts,6018664
Aftershock,United States,Westhampton,42.3043386,-72.7749593,"Westhampton, Hampshire County, Massachusetts, United States",Massachusetts,6018664
Nachtmystium,United States,Wheaton,41.8646959,-88.1101709,"Wheaton, DuPage County, Illinois, 60187, United States",Illinois,11446979
Sleeping at Last,United States,Wheaton,41.8646959,-88.1101709,"Wheaton, DuPage County, Illinois, 60187, United States",Illinois,11446979
Exmortus,United States,Whittier,33.9749136,-118.0338664,"Whittier, Los Angeles County, California, United States",California,29950111
Joe Walsh,United States,Wichita,37.68118565,-97.38720322122724,"Wichita, Sedgwick County, Kansas, United States",Kansas,2480683
Manilla Road,United States,Wichita,37.68118565,-97.38720322122724,"Wichita, Sedgwick County, Kansas, United States",Kansas,2480683
Bowling for Soup,United States,Wichita Falls,33.9004572,-98.5020777,"Wichita Falls, Wichita County, Texas, United States",Texas,17044714
An Albatross,United States,Wilkes-Barre,41.2464824,-75.8817316,"Wilkes-Barre, Luzerne County, Pennsylvania, United States",Pennsylvania,11895604
Bad Seed,United States,Wilkes-Barre,41.2464824,-75.8817316,"Wilkes-Barre, Luzerne County, Pennsylvania, United States",Pennsylvania,11895604
Breaking Benjamin,United States,Wilkes-Barre,41.2464824,-75.8817316,"Wilkes-Barre, Luzerne County, Pennsylvania, United States",Pennsylvania,11895604
Cold World,United States,Wilkes-Barre,41.2464824,-75.8817316,"Wilkes-Barre, Luzerne County, Pennsylvania, United States",Pennsylvania,11895604
Lifer,United States,Wilkes-Barre,41.2464824,-75.8817316,"Wilkes-Barre, Luzerne County, Pennsylvania, United States",Pennsylvania,11895604
Akron/Family,United States,Williamsburg,40.714622,-73.95345,"Williamsburg, Brooklyn, Kings County, City of New York, New York, 11249, United States",New York,18002855
Seven Mary Three,United States,Williamsburg,37.2708788,-76.7074042,"Williamsburg, Virginia, United States",Virginia,6213526
Man Overboard,United States,Williamstown,39.688691,-74.98691910292524,"Williamstown, Monroe Township, Gloucester County, New Jersey, United States",New Jersey,7757158
Fall Out Boy,United States,Wilmette,42.0757315,-87.7193768,"Wilmette, New Trier Township, Cook County, Illinois, 60091, United States",Illinois,11446979
ASG,United States,Wilmington,34.2257282,-77.9447107,"Wilmington, New Hanover County, North Carolina, United States",North Carolina,6656986
Corpus Rottus,United States,Wilmington,39.7459468,-75.546589,"Wilmington, New Castle County, Delaware, United States",Delaware,669063
He Is Legend,United States,Wilmington,34.2257282,-77.9447107,"Wilmington, New Hanover County, North Carolina, United States",North Carolina,6656986
Weedeater,United States,Wilmington,34.2257282,-77.9447107,"Wilmington, New Hanover County, North Carolina, United States",North Carolina,6656986
Wrath and Rapture,United States,Winston Salem,36.0998131,-80.2440518,"Winston-Salem, Forsyth County, North Carolina, United States",North Carolina,6656986
