artist,city,state,population
Indian,Chicago,Illinois,8604203
Colossal,Chicago,Illinois,8604203
James Iha,Chicago,Illinois,8604203
88 Fingers Louie,Chicago,Illinois,8604203
Lair of the Minotaur,Chicago,Illinois,8604203
Rosaline,Chicago,Illinois,8604203
The Atlas Moth,Chicago,Illinois,8604203
The Tossers,Chicago,Illinois,8604203
Cyclone Temple,Chicago,Illinois,8604203
Yakuza,Chicago,Illinois,8604203
Pegboy,Chicago,Illinois,8604203
Dehd,Chicago,Illinois,8604203
Aftermath,Chicago,Illinois,8604203
Joan of Arc,Chicago,Illinois,8604203
Russian Circles,Chicago,Illinois,8604203
Lucky Boys Confusion,Chicago,Illinois,8604203
Spitalfield,Chicago,Illinois,8604203
Red Red Meat,Chicago,Illinois,8604203
Nerves,Chicago,Illinois,8604203
Bongripper,Chicago,Illinois,8604203
Articles of Faith,Chicago,Illinois,8604203
Belmont,Chicago,Illinois,8604203
meth.,Chicago,Illinois,8604203
McLuhan,Chicago,Illinois,8604203
Madina Lake,Chicago,Illinois,8604203
Venomous Concept,Chicago,Illinois,8604203
The Smashing Pumpkins,Chicago,Illinois,8604203
Styx,Chicago,Illinois,8604203
REZN,Chicago,Illinois,8604203
Alkaline Trio,Chicago,Illinois,8604203
Pelican,Chicago,Illinois,8604203
Dowsing,Chicago,Illinois,8604203
Sundowner,Chicago,Illinois,8604203
Nucleus (US),Chicago,Illinois,8604203
Twin Peaks,Chicago,Illinois,8604203
Coven,Chicago,Illinois,8604203
The Academy Is...,Chicago,Illinois,8604203
Rapeman,Chicago,Illinois,8604203
Warren Zevon,Chicago,Illinois,8604203
Pigface,Chicago,Illinois,8604203
Astrobrite,Chicago,Illinois,8604203
The Sea And Cake,Chicago,Illinois,8604203
Gold Motel,Chicago,Illinois,8604203
Velnias,Chicago,Illinois,8604203
Cyanotic,Chicago,Illinois,8604203
The Audition,Chicago,Illinois,8604203
Shellac,Chicago,Illinois,8604203
Kill Hannah,Chicago,Illinois,8604203
Airiel,Chicago,Illinois,8604203
The Fold,Chicago,Illinois,8604203
OK Go,Chicago,Illinois,8604203
Exotic Animal Petting Zoo,Chicago,Illinois,8604203
Purple Mountains,Chicago,Illinois,8604203
No One,Chicago,Illinois,8604203
Allister,Chicago,Illinois,8604203
Rickie Lee Jones,Chicago,Illinois,8604203
Macabre,Chicago,Illinois,8604203
U.S. Maple,Chicago,Illinois,8604203
Whitney,Chicago,Illinois,8604203
Mild High Club,Chicago,Illinois,8604203
Laurie Anderson,Chicago,Illinois,8604203
Tar,Chicago,Illinois,8604203
Oozing Wound,Chicago,Illinois,8604203
Zwan,Chicago,Illinois,8604203
The Flying Luttenbachers,Chicago,Illinois,8604203
SOiL,Chicago,Illinois,8604203
Ezra Furman,Chicago,Illinois,8604203
Acumen Nation,Chicago,Illinois,8604203
The Skull,Chicago,Illinois,8604203
Gia Margaret,Chicago,Illinois,8604203
The Electric Flag,Chicago,Illinois,8604203
Implodes,Chicago,Illinois,8604203
The Killing Tree,Chicago,Illinois,8604203
Company Of Thieves,Chicago,Illinois,8604203
Young Jesus,Chicago,Illinois,8604203
The Paul Butterfield Blues Band,Chicago,Illinois,8604203
Liz Phair,Chicago,Illinois,8604203
Novembers Doom,Chicago,Illinois,8604203
Warforged,Chicago,Illinois,8604203
Meat Wave,Chicago,Illinois,8604203
Yezda Urfa,Chicago,Illinois,8604203
Knuckle Puck,Chicago,Illinois,8604203
Driftless Pony Club,Chicago,Illinois,8604203
Ministry,Chicago,Illinois,8604203
Into It. Over It.,Chicago,Illinois,8604203
Dirge Within,Chicago,Illinois,8604203
Angel Olsen,Chicago,Illinois,8604203
Owen,Chicago,Illinois,8604203
U.S. Girls,Chicago,Illinois,8604203
Murmur,Chicago,Illinois,8604203
Zelienople,Chicago,Illinois,8604203
Able Baker Fox,Chicago,Illinois,8604203
Tweedy,Chicago,Illinois,8604203
Owls,Chicago,Illinois,8604203
Wilco,Chicago,Illinois,8604203
Maps and Atlases,Chicago,Illinois,8604203
Tortoise,Chicago,Illinois,8604203
The Falcon,Chicago,Illinois,8604203
Loose Fur,Chicago,Illinois,8604203
Sweep the Leg Johnny,Chicago,Illinois,8604203
From Zero,Chicago,Illinois,8604203
Penpal,Chicago,Illinois,8604203
Make Believe,Chicago,Illinois,8604203
Tub Ring,Chicago,Illinois,8604203
Ryley Walker,Chicago,Illinois,8604203
Lord Mantis,Chicago,Illinois,8604203
Water From Your Eyes,Chicago,Illinois,8604203
Revolting Cocks,Chicago,Illinois,8604203
Disturbed,Chicago,Illinois,8604203
Much the Same,Chicago,Illinois,8604203
Dance Club Massacre,Chicago,Illinois,8604203
Veil of Maya,Chicago,Illinois,8604203
The Handsome Family,Chicago,Illinois,8604203
Califone,Chicago,Illinois,8604203
My Life with the Thrill Kill Kult,Chicago,Illinois,8604203
"Earth, Wind and Fire",Chicago,Illinois,8604203
Volta Do Mar,Chicago,Illinois,8604203
Horsegirl,Chicago,Illinois,8604203
I Set My Friends On Fire,Miami,Florida,6445545
Glocca Morra,Miami,Florida,6445545
Yves Tumor,Miami,Florida,6445545
Cynic,Miami,Florida,6445545
Floor,Miami,Florida,6445545
Aghora,Miami,Florida,6445545
Harry Pussy,Miami,Florida,6445545
Torche,Miami,Florida,6445545
Darwin's Waiting Room,Miami,Florida,6445545
Aeon Spoke,Miami,Florida,6445545
Cavity,Miami,Florida,6445545
Endo,Miami,Florida,6445545
Magdalena Bay,Miami,Florida,6445545
The Paper Chase,Dallas,Texas,5743938
Narrow Head,Dallas,Texas,5743938
The Secret Handshake,Dallas,Texas,5743938
Devourment,Dallas,Texas,5743938
Forever the Sickest Kids,Dallas,Texas,5743938
Hellyeah,Dallas,Texas,5743938
Tripping Daisy,Dallas,Texas,5743938
Crown the Empire,Dallas,Texas,5743938
Wo Fat,Dallas,Texas,5743938
St. Vincent,Dallas,Texas,5743938
Baring Teeth,Dallas,Texas,5743938
Seventh Day Slumber,Dallas,Texas,5743938
The Polyphonic Spree,Dallas,Texas,5743938
A Dozen Furies,Dallas,Texas,5743938
Edie Brickell and New Bohemians,Dallas,Texas,5743938
Damageplan,Dallas,Texas,5743938
Meat Loaf,Dallas,Texas,5743938
Secret Machines,Dallas,Texas,5743938
The Afters,Dallas,Texas,5743938
Vanilla Ice,Dallas,Texas,5743938
Drowning Pool,Dallas,Texas,5743938
Absu,Dallas,Texas,5743938
Roky Erickson,Dallas,Texas,5743938
Edgewater,Dallas,Texas,5743938
True Widow,Dallas,Texas,5743938
Bedhead,Dallas,Texas,5743938
Stephen Stills,Dallas,Texas,5743938
Valencia,Philadelphia,Pennsylvania,5649300
Sheer Mag,Philadelphia,Pennsylvania,5649300
Espers,Philadelphia,Pennsylvania,5649300
Kid Dynamite,Philadelphia,Pennsylvania,5649300
Krieg,Philadelphia,Pennsylvania,5649300
Paint It Black,Philadelphia,Pennsylvania,5649300
Starkweather,Philadelphia,Pennsylvania,5649300
Silvertide,Philadelphia,Pennsylvania,5649300
Ink and Dagger,Philadelphia,Pennsylvania,5649300
Swearin',Philadelphia,Pennsylvania,5649300
Amos Lee,Philadelphia,Pennsylvania,5649300
Circa Survive,Philadelphia,Pennsylvania,5649300
Bang,Philadelphia,Pennsylvania,5649300
Skyhill,Philadelphia,Pennsylvania,5649300
Cinderella,Philadelphia,Pennsylvania,5649300
Reign Supreme,Philadelphia,Pennsylvania,5649300
TrenchRot,Philadelphia,Pennsylvania,5649300
Saxon Shore,Philadelphia,Pennsylvania,5649300
Blacklisted,Philadelphia,Pennsylvania,5649300
Aaron West and The Roaring Twenties,Philadelphia,Pennsylvania,5649300
A Sunny Day in Glasgow,Philadelphia,Pennsylvania,5649300
Nothing,Philadelphia,Pennsylvania,5649300
Mannequin Pussy,Philadelphia,Pennsylvania,5649300
Young Statues,Philadelphia,Pennsylvania,5649300
Woe,Philadelphia,Pennsylvania,5649300
Japanese Breakfast,Philadelphia,Pennsylvania,5649300
Hot Cross,Philadelphia,Pennsylvania,5649300
Empty Country,Philadelphia,Pennsylvania,5649300
Matt Pond PA,Philadelphia,Pennsylvania,5649300
The Loved Ones,Philadelphia,Pennsylvania,5649300
Infidel?/Castro!,Philadelphia,Pennsylvania,5649300
Horrendous,Philadelphia,Pennsylvania,5649300
Dr. Dog,Philadelphia,Pennsylvania,5649300
This Day Forward,Philadelphia,Pennsylvania,5649300
"Slaughter Beach, Dog",Philadelphia,Pennsylvania,5649300
