artist,country
John Mayer,United States
Placebo,United Kingdom
Primal Scream,United Kingdom
moe.,United States
Megadeth,United States
My Chemical Romance,United States
The Blood Brothers,United States
Jars Of Clay,United States
Explosions in the Sky,United States
Wire,United Kingdom
The Music,United Kingdom
Grateful Dead,United States
Aghora,United States
AFI,United States
Jimmy Eat World,United States
The Shins,United States
Fastball,United States
AFI,United States
Good Charlotte,United States
Himsa,United States
Living Sacrifice,United States
Grateful Dead,United States
Van Halen,United States
Grateful Dead,United States
Slipknot,United States
Delays,United Kingdom
Death,United States
The Doors,United States
Staind,United States
Cannibal Corpse,United States
All That Remains,United States
Belle and Sebastian,United Kingdom
Grateful Dead,United States
Elbow,United Kingdom
Bruce Springsteen,United States
Pink Floyd,United Kingdom
Sugar Ray,United States
The Warriors,United States
Cradle of Filth,United Kingdom
Roy Harper,United Kingdom
Biffy Clyro,United Kingdom
Blues Traveler,United States
Lamb of God,United States
Circle Jerks,United States
Kasabian,United Kingdom
Helmet,United States
Grateful Dead,United States
Yes,United Kingdom
The Red Chord,United States
Grateful Dead,United States
Oasis,United Kingdom
The Rolling Stones,United Kingdom
Between the Buried and Me,United States
Morrissey,United Kingdom
Liz Phair,United States
Modest Mouse,United States
Fugazi,United States
Sonic Youth,United States
Badly Drawn Boy,United Kingdom
The Walkmen,United States
Disturbed,United States
Elliott Smith,United States
Disturbed,United States
Tom Waits,United States
Grateful Dead,United States
Grand Funk Railroad,United States
The Modern Lovers,United States
Iron Maiden,United Kingdom
The Bouncing Souls,United States
God Forbid,United States
Grateful Dead,United States
ZZ Top,United States
Flaw,United States
Primer 55,United States
The Smiths,United Kingdom
Mushroomhead,United States
Grateful Dead,United States
Bruce Springsteen,United States
Pavement,United States
Iron Maiden,United Kingdom
The Smiths,United Kingdom
Morrissey,United Kingdom
Sunny Day Real Estate,United States
Neurosis,United States
Morrissey,United Kingdom
Strung Out,United States
The Spill Canvas,United States
The Flaming Lips,United States
Korn,United States
Bad Religion,United States
TV on the Radio,United States
Trans-Siberian Orchestra,United States
ZZ Top,United States
Pinback,United States
Blur,United Kingdom
John Mayer,United States
The Presidents of the United States of America,United States
The Doors,United States
The Casualties,United States
Guns N' Roses,United States
The Byrds,United States
Gordian Knot,United States
Black Sabbath,United Kingdom
Pelican,United States
Monster Magnet,United States
Pantera,United States
The Rolling Stones,United Kingdom
Alice in Chains,United States
Dream Theater,United States
Saves the Day,United States
Breaking Benjamin,United States
Agalloch,United States
Creedence Clearwater Revival,United States
Carcass,United Kingdom
Cocteau Twins,United Kingdom
Goo Goo Dolls,United States
Neurosis,United States
Canvas Solaris,United States
Reel Big Fish,United States
Fugazi,United States
Adema,United States
Adema,United States
The Cure,United Kingdom
Harry Nilsson,United States
The Beatles,United Kingdom
Bob Dylan,United States
Ween,United States
Snow Patrol,United Kingdom
Idlewild,United Kingdom
The Afghan Whigs,United States
Uriah Heep,United Kingdom
A Day In Black And White,United States
Eagles,United States
G. Love and Special Sauce,United States
Converge,United States
The Marshall Tucker Band,United States
The Smiths,United Kingdom
The Eighties Matchbox B-Line Disaster,United Kingdom
Beulah,United States
ISIS,United States
Khanate,United States
Tiger Army,United States
Tracy Chapman,United States
The Dismemberment Plan,United States
Mahavishnu Orchestra,United States
Morphine,United States
Tori Amos,United States
Jefferson Airplane,United States
The Beach Boys,United States
Gorillaz,United Kingdom
Quicksilver Messenger Service,United States
Scissor Sisters,United States
Circulatory System,United States
Lamb,United Kingdom
White Noise,United Kingdom
Frank Zappa,United States
Black Moth Super Rainbow,United States
Jem,United Kingdom
Slowdive,United Kingdom
Against Me!,United States
The Jesus and Mary Chain,United Kingdom
Morgion,United States
Mastodon,United States
Static-X,United States
Radiohead,United Kingdom
Hopesfall,United States
Nevermore,United States
Soundgarden,United States
A Perfect Circle,United States
Counting Crows,United States
Dream Theater,United States
Morbid Angel,United States
Therapy?,United Kingdom
Therapy?,United Kingdom
No Doubt,United States
Converge,United States
Slipknot,United States
Cold,United States
Nirvana,United States
George Harrison,United Kingdom
Bleeding Through,United States
Ryan Adams,United States
Diecast,United States
The Beatles,United Kingdom
Counting Crows,United States
Red Hot Chili Peppers,United States
Liquid Tension Experiment,United States
Arsis,United States
Gordian Knot,United States
Symphony X,United States
Mogwai,United Kingdom
Rage Against the Machine,United States
Radiohead,United Kingdom
The Clash,United Kingdom
In My Eyes,United States
The Specials,United Kingdom
The Smashing Pumpkins,United States
Manic Street Preachers,United Kingdom
The Twilight Singers,United States
Pink Floyd,United Kingdom
Mr. Bungle,United States
At the Drive-In,United States
Warren Zevon,United States
Revenant,United States
The Rolling Stones,United Kingdom
Bad Brains,United States
Marilyn Manson,United States
Judas Priest,United Kingdom
Death Cab for Cutie,United States
Queens of the Stone Age,United States
Darkest Hour,United States
Jars Of Clay,United States
Biffy Clyro,United Kingdom
Pink Floyd,United Kingdom
Belle and Sebastian,United Kingdom
Circle Takes the Square,United States
Razorlight,United Kingdom
DragonForce,United Kingdom
Megadeth,United States
Cursive,United States
Ween,United States
HORSE the band,United States
The Presidents of the United States of America,United States
Velvet Revolver,United States
Lamb of God,United States
Red Hot Chili Peppers,United States
Poison the Well,United States
Dead Kennedys,United States
Reuben,United Kingdom
Alien Ant Farm,United States
Head Automatica,United States
Strike Anywhere,United States
Soundgarden,United States
Porcupine Tree,United Kingdom
...And You Will Know Us by the Trail of Dead,United States
Bright Eyes,United States
Bright Eyes,United States
Machine Head,United States
Counting Crows,United States
Bad Religion,United States
LCD Soundsystem,United States
Ozzy Osbourne,United Kingdom
Pantera,United States
Mogwai,United Kingdom
Pixies,United States
Lamb of God,United States
In My Eyes,United States
The Velvet Underground,United States
Overkill,United States
Overkill,United States
InMe,United Kingdom
Dr. John,United Kingdom
Injected,United States
Korn,United States
Judas Priest,United Kingdom
Yes,United Kingdom
Pink Floyd,United Kingdom
Dave Matthews Band,United States
The Who,United Kingdom
Nonpoint,United States
Stone Temple Pilots,United States
Stone Temple Pilots,United States
The Mars Volta,United States
The Rolling Stones,United Kingdom
Biffy Clyro,United Kingdom
Iron Maiden,United Kingdom
Mr. Bungle,United States
Pro-Pain,United States
Black Sabbath,United Kingdom
The Byrds,United States
Metallica,United States
Saves the Day,United States
