artist,country,city,latitude,longitude,address,state
Chimp Spanner,United Kingdom,Colchester,51.77046785,0.4646697741230038,"Essex, England, United Kingdom",Essex
Lauren Harris,United Kingdom,Harlow,51.77046785,0.4646697741230038,"Essex, England, United Kingdom",Essex
Postmortem Promises,United Kingdom,Chelmsford,51.77046785,0.4646697741230038,"Essex, England, United Kingdom",Essex
Laura Marling,United Kingdom,Eversley,51.3533322,-0.8880944,"Eversley, Eversley Centre, Hart, Hampshire, England, United Kingdom",Hampshire
The Computers,United Kingdom,Exeter,50.7256138,-3.5269209,"Exeter, Devon, England, United Kingdom",Devon
Black Foxxes,United Kingdom,Exeter,50.7256138,-3.5269209,"Exeter, Devon, England, United Kingdom",Devon
Napoleon,United Kingdom,Exeter,50.7256138,-3.5269209,"Exeter, Devon, England, United Kingdom",Devon
Beth Gibbons,United Kingdom,Exeter,50.7256138,-3.5269209,"Exeter, Devon, England, United Kingdom",Devon
Arab Strap,United Kingdom,Falkirk,55.9991959,-3.784376,"Falkirk, Alba / Scotland, FK1 1ED, United Kingdom",Scotland
Bill Wells and Aidan Moffat,United Kingdom,Falkirk,55.9991959,-3.784376,"Falkirk, Alba / Scotland, FK1 1ED, United Kingdom",Scotland
Tall Ships,United Kingdom,Falmouth,50.1552197,-5.0688262,"Falmouth, Cornwall, England, United Kingdom",Cornwall
Freddie Mercury,United Kingdom,Feltham,51.4442232,-0.410659,"Feltham, London Borough of Hounslow, London, Greater London, England, TW13 7ER, United Kingdom",England
Galahad,United Kingdom,Ferndown,50.8022391,-1.8905903,"Ferndown, Dorset, England, BH22 9HZ, United Kingdom",England
Penetration,United Kingdom,Ferryhill,54.6878678,-1.551036,"Ferryhill, County Durham, North East, England, DL17 8DR, United Kingdom",England
King Creosote,United Kingdom,Cellardyke,56.3333331,-3.0000001,"Fife, Alba / Scotland, United Kingdom",Fife
Steve Mason,United Kingdom,St Andrews,56.3333331,-3.0000001,"Fife, Alba / Scotland, United Kingdom",Fife
Dogs Die In Hot Cars,United Kingdom,St Andrews,56.3333331,-3.0000001,"Fife, Alba / Scotland, United Kingdom",Fife
The Aliens,United Kingdom,St Andrews,56.3333331,-3.0000001,"Fife, Alba / Scotland, United Kingdom",Fife
One Way System,United Kingdom,Fleetwood,53.92195855,-3.0327285770885,"Fleetwood, Wyre, Lancashire, England, United Kingdom",Lancashire
A Certain Ratio,United Kingdom,Flixton,53.4437085,-2.3839554,"Flixton, Bottom's Path, Davyhulme, Flixton, Trafford, Greater Manchester, England, M41 6JH, United Kingdom",England
Jairus,United Kingdom,Folkestone,51.0791335,1.1794073,"Folkestone, Folkestone and Hythe, Kent, England, United Kingdom",Kent
John Cale,United Kingdom,Garnant,51.8000888,-3.9043208,"Garnant, Sir Gaerfyrddin / Carmarthenshire, Cymru / Wales, SA18 1ND, United Kingdom",Wales
The Cinematics,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Franz Ferdinand,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
1990s,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Departures,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Lewis Capaldi,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Simple Minds,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
