artist,city,state,population
The Cinematics,Glasgow,Alba / Scotland,633120
The Cosmic Dead,Glasgow,Alba / Scotland,633120
Lewis Capaldi,Glasgow,Alba / Scotland,633120
Paws,Glasgow,Alba / Scotland,633120
Franz Ferdinand,Glasgow,Alba / Scotland,633120
1990s,Glasgow,Alba / Scotland,633120
Departures,Glasgow,Alba / Scotland,633120
Camera Obscura,Glasgow,Alba / Scotland,633120
Simple Minds,Glasgow,Alba / Scotland,633120
The Pastels,Glasgow,Alba / Scotland,633120
Aereogramme,Glasgow,Alba / Scotland,633120
Profane,Manchester,Greater Manchester,547627
Axis of Light,Manchester,Greater Manchester,547627
Wode,Manchester,Greater Manchester,547627
Noel Gallagher's High Flying Birds,Manchester,Greater Manchester,547627
The Stone Roses,Manchester,Greater Manchester,547627
The Hollies,Manchester,Greater Manchester,547627
Beecher,Manchester,Greater Manchester,547627
The Smiths,Manchester,Greater Manchester,547627
Oceansize,Manchester,Greater Manchester,547627
Ingested,Manchester,Greater Manchester,547627
Winterfylleth,Manchester,Greater Manchester,547627
"Mandy, Indiana",Manchester,Greater Manchester,547627
Amplifier,Manchester,Greater Manchester,547627
Crywank,Manchester,Greater Manchester,547627
Magazine,Manchester,Greater Manchester,547627
Take That,Manchester,Greater Manchester,547627
Floating Points,Manchester,Greater Manchester,547627
Amorphous Androgynous,Manchester,Greater Manchester,547627
Leeched,Manchester,Greater Manchester,547627
Lamb,Manchester,Greater Manchester,547627
Sonic Boom Six,Manchester,Greater Manchester,547627
Electronic,Manchester,Greater Manchester,547627
Oasis,Manchester,Greater Manchester,547627
Everything Everything,Manchester,Greater Manchester,547627
Johnny Marr,Manchester,Greater Manchester,547627
Working For a Nuclear Free City,Manchester,Greater Manchester,547627
Money,Manchester,Greater Manchester,547627
Simply Red,Manchester,Greater Manchester,547627
Pale Waves,Manchester,Greater Manchester,547627
Delphic,Manchester,Greater Manchester,547627
British Theatre,Manchester,Greater Manchester,547627
I Am Kloot,Manchester,Greater Manchester,547627
Spires,Manchester,Greater Manchester,547627
WU LYF,Manchester,Greater Manchester,547627
Peter Hammill,Manchester,Greater Manchester,547627
Van der Graaf Generator,Manchester,Greater Manchester,547627
Pijn,Manchester,Greater Manchester,547627
Nine Black Alps,Manchester,Greater Manchester,547627
Liam Gallagher,Manchester,Greater Manchester,547627
Joe Cocker,Sheffield,South Yorkshire,518090
65daysofstatic,Sheffield,South Yorkshire,518090
Malevolence,Sheffield,South Yorkshire,518090
Bal-Sagoth,Sheffield,South Yorkshire,518090
Slow Club,Sheffield,South Yorkshire,518090
While She Sleeps,Sheffield,South Yorkshire,518090
Pulp,Sheffield,South Yorkshire,518090
Def Leppard,Sheffield,South Yorkshire,518090
Black Spiders,Sheffield,South Yorkshire,518090
Bring Me The Horizon,Sheffield,South Yorkshire,518090
Clock DVA,Sheffield,South Yorkshire,518090
The Comsat Angels,Sheffield,South Yorkshire,518090
The Last Shadow Puppets,Sheffield,South Yorkshire,518090
Regal Worm,Sheffield,South Yorkshire,518090
Nai Harvest,Sheffield,South Yorkshire,518090
Arctic Monkeys,Sheffield,South Yorkshire,518090
The Long Blondes,Sheffield,South Yorkshire,518090
Hidden Mothers,Sheffield,South Yorkshire,518090
Jarvis Cocker,Sheffield,South Yorkshire,518090
Carcass,Liverpool,Liverpool City Region,513441
The Beatles,Liverpool,Liverpool City Region,513441
Carcer City,Liverpool,Liverpool City Region,513441
A Flock of Seagulls,Liverpool,Liverpool City Region,513441
George Harrison,Liverpool,Liverpool City Region,513441
Space,Liverpool,Liverpool City Region,513441
Frankie Goes To Hollywood,Liverpool,Liverpool City Region,513441
Dawn Ray'd,Liverpool,Liverpool City Region,513441
John Lennon,Liverpool,Liverpool City Region,513441
Modern Eon,Liverpool,Liverpool City Region,513441
Echo and The Bunnymen,Liverpool,Liverpool City Region,513441
Antimatter,Liverpool,Liverpool City Region,513441
Blackstar,Liverpool,Liverpool City Region,513441
Ladytron,Liverpool,Liverpool City Region,513441
Conan,Liverpool,Liverpool City Region,513441
Cast,Liverpool,Liverpool City Region,513441
The La's,Liverpool,Liverpool City Region,513441
Wstr,Liverpool,Liverpool City Region,513441
Ringo Starr,Liverpool,Liverpool City Region,513441
Alpha Male Tea Party,Liverpool,Liverpool City Region,513441
Paul McCartney,Liverpool,Liverpool City Region,513441
We Came Out Like Tigers,Liverpool,Liverpool City Region,513441
Anathema,Liverpool,Liverpool City Region,513441
Loathe,Liverpool,Liverpool City Region,513441
Courting,Liverpool,Liverpool City Region,513441
Circa Waves,Liverpool,Liverpool City Region,513441
The Dead 60s,Liverpool,Liverpool City Region,513441
The Teardrop Explodes,Liverpool,Liverpool City Region,513441
Dragged Into Sunlight,Liverpool,Liverpool City Region,513441
The Wombats,Liverpool,Liverpool City Region,513441
KT Tunstall,Edinburgh,City of Edinburgh,488050
Frontierer,Edinburgh,City of Edinburgh,488050
The Rezillos,Edinburgh,City of Edinburgh,488050
Sectioned,Edinburgh,City of Edinburgh,488050
The Incredible String Band,Edinburgh,City of Edinburgh,488050
Holocaust,Edinburgh,City of Edinburgh,488050
Edwyn Collins,Edinburgh,City of Edinburgh,488050
Dog Faced Hermans,Edinburgh,City of Edinburgh,488050
Idlewild,Edinburgh,City of Edinburgh,488050
Meursault,Edinburgh,City of Edinburgh,488050
Josef K,Edinburgh,City of Edinburgh,488050
The Exploited,Edinburgh,City of Edinburgh,488050
North Atlantic Oscillation,Edinburgh,City of Edinburgh,488050
Dvne,Edinburgh,City of Edinburgh,488050
Bert Jansch,Edinburgh,City of Edinburgh,488050
Midas Fall,Edinburgh,City of Edinburgh,488050
Flying Saucer Attack,Bristol,West of England,463400
Turbowolf,Bristol,West of England,463400
Jaguar,Bristol,West of England,463400
Fuck Buttons,Bristol,West of England,463400
Kosheen,Bristol,West of England,463400
Mark Stewart And The Maffia,Bristol,West of England,463400
Basilisk,Bristol,West of England,463400
Gravenhurst,Bristol,West of England,463400
Cryptworm,Bristol,West of England,463400
Onslaught,Bristol,West of England,463400
The Sundays,Bristol,West of England,463400
Sugar Horse,Bristol,West of England,463400
Rip Rig and Panic,Bristol,West of England,463400
Tricky,Bristol,West of England,463400
IDLES,Bristol,West of England,463400
Svalbard,Bristol,West of England,463400
East of Eden,Bristol,West of England,463400
Evita,Bristol,West of England,463400
Portishead,Bristol,West of England,463400
Yola,Bristol,West of England,463400
The Pop Group,Bristol,West of England,463400
Noctule,Bristol,West of England,463400
Secret Shine,Bristol,West of England,463400
Phoxjaw,Bristol,West of England,463400
Crippled Black Phoenix,Bristol,West of England,463400
Abyssal,Bristol,West of England,463400
The Enemy,Coventry,West Midlands,362690
Bolt Thrower,Coventry,West Midlands,362690
The Specials,Coventry,West Midlands,362690
Adorable,Coventry,West Midlands,362690
Cathedral,Coventry,West Midlands,362690
Sika Redem,Coventry,West Midlands,362690
The Primitives,Coventry,West Midlands,362690
Shaped By Fate,Caerdydd,Cymru / Wales,361469
Fruupp,Belfast,County Antrim,333871
Van Morrison,Belfast,County Antrim,333871
Stiff Little Fingers,Belfast,County Antrim,333871
Darkest Era,Belfast,County Antrim,333871
And So I Watch You From Afar,Belfast,County Antrim,333871
Gary Moore,Belfast,County Antrim,333871
Family,Leicester,England,329839
Maybeshewill,Leicester,England,329839
Spring,Leicester,England,329839
Prolapse,Leicester,England,329839
Black Widow,Leicester,England,329839
Blitzkrieg,Leicester,England,329839
Cornershop,Leicester,England,329839
Kasabian,Leicester,England,329839
Church of the Cosmic Skull,Nottingham,East Midlands,321500
Teeth of Lions Rule the Divine,Nottingham,East Midlands,321500
Sleaford Mods,Nottingham,East Midlands,321500
Heresy,Nottingham,East Midlands,321500
Pitchshifter,Nottingham,East Midlands,321500
Hell,Nottingham,East Midlands,321500
Desecrator,Nottingham,East Midlands,321500
Heck,Nottingham,East Midlands,321500
All the Empires of the World,Nottingham,East Midlands,321500
Tindersticks,Nottingham,East Midlands,321500
Jake Bugg,Nottingham,East Midlands,321500
Fudge Tunnel,Nottingham,East Midlands,321500
London Grammar,Nottingham,East Midlands,321500
You Slut!,Nottingham,East Midlands,321500
Amusement Parks On Fire,Nottingham,East Midlands,321500
Iron Monkey,Nottingham,East Midlands,321500
